TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-10-16T10:30:00,8511,215,,51.134,16.8842
04,kujawsko-pomorskie,2020-10-16T10:30:00,6935,113,,53.1648,18.4834
06,lubelskie,2020-10-16T10:30:00,5858,103,,51.2494,23.1011
08,lubuskie,2020-10-16T10:30:00,2263,28,1,52.2275,15.2559
10,łódzkie,2020-10-16T10:30:00,11595,321,,51.4635,19.1727
12,małopolskie,2020-10-16T10:30:00,20821,305,,49.7225,20.2503
14,mazowieckie,2020-10-16T10:30:00,21642,530,,51.8927,21.0022
16,opolskie,2020-10-16T10:30:00,4286,113,,50.8004,17.938
18,podkarpackie,2020-10-16T10:30:00,8225,231,,50.0575,22.0896
20,podlaskie,2020-10-16T10:30:00,3957,78,,53.0697,22.9675
22,pomorskie,2020-10-16T10:30:00,9764,162,,54.2944,18.1531
24,śląskie,2020-10-16T10:30:00,28361,651,,50.5717,19.322
26,świętokrzyskie,2020-10-16T10:30:00,4638,96,,50.6261,20.9406
28,warmińsko-mazurskie,2020-10-16T10:30:00,3287,47,,53.8671,20.7028
30,wielkopolskie,2020-10-16T10:30:00,13581,402,,52.28,17.3523
32,zachodniopomorskie,2020-10-16T10:30:00,3884,45,,53.4658,15.1823
,nieokreślono,2020-10-16T10:00:00,,,87772,52.0693,19.4803
