TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-10-01T10:31:00,5259,181,,51.134,16.8842
04,kujawsko-pomorskie,2020-10-01T10:31:00,2864,72,,53.1648,18.4834
06,lubelskie,2020-10-01T10:31:00,2786,42,,51.2494,23.1011
08,lubuskie,2020-10-01T10:31:00,1046,20,1,52.2275,15.2559
10,łódzkie,2020-10-01T10:31:00,6868,278,,51.4635,19.1727
12,małopolskie,2020-10-01T10:31:00,11501,197,,49.7225,20.2503
14,mazowieckie,2020-10-01T10:31:00,13008,449,,51.8927,21.0022
16,opolskie,2020-10-01T10:31:00,2382,80,,50.8004,17.938
18,podkarpackie,2020-10-01T10:31:00,3992,135,,50.0575,22.0896
20,podlaskie,2020-10-01T10:31:00,2118,47,,53.0697,22.9675
22,pomorskie,2020-10-01T10:31:00,5130,83,,54.2944,18.1531
24,śląskie,2020-10-01T10:31:00,22767,560,,50.5717,19.322
26,świętokrzyskie,2020-10-01T10:31:00,2161,57,,50.6261,20.9406
28,warmińsko-mazurskie,2020-10-01T10:31:00,1745,17,,53.8671,20.7028
30,wielkopolskie,2020-10-01T10:31:00,7985,289,,52.28,17.3523
32,zachodniopomorskie,2020-10-01T10:31:00,1869,36,,53.4658,15.1823
,nieokreślono,2020-10-01T10:00:00,,,70400,52.0693,19.4803
