TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-08-20T10:30:00,3773,161,,51.134,16.8842
04,kujawsko-pomorskie,2020-08-20T10:30:00,1071,51,,53.1648,18.4834
06,lubelskie,2020-08-20T10:30:00,1331,24,,51.2494,23.1011
08,lubuskie,2020-08-20T10:30:00,619,12,1,52.2275,15.2559
10,łódzkie,2020-08-20T10:30:00,4766,225,,51.4635,19.1727
12,małopolskie,2020-08-20T10:30:00,5989,103,,49.7225,20.2503
14,mazowieckie,2020-08-20T10:30:00,8267,394,,51.8927,21.0022
16,opolskie,2020-08-20T10:30:00,1476,60,,50.8004,17.938
18,podkarpackie,2020-08-20T10:30:00,1976,77,,50.0575,22.0896
20,podlaskie,2020-08-20T10:30:00,1177,29,,53.0697,22.9675
22,pomorskie,2020-08-20T10:30:00,1805,42,,54.2944,18.1531
24,śląskie,2020-08-20T10:30:00,19295,451,,50.5717,19.322
26,świętokrzyskie,2020-08-20T10:30:00,1209,48,,50.6261,20.9406
28,warmińsko-mazurskie,2020-08-20T10:30:00,665,5,,53.8671,20.7028
30,wielkopolskie,2020-08-20T10:30:00,4938,216,,52.28,17.3523
32,zachodniopomorskie,2020-08-20T10:30:00,1021,27,,53.4658,15.1823
XX,nieokreślono,2020-08-20T10:00:00,,,40480,52.0693,19.4803
