TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-04-30T23:59:59,1563,48,,51.134,16.8842
04,kujawsko-pomorskie,2020-04-30T23:59:59,544,28,,53.1648,18.4834
06,lubelskie,2020-04-30T23:59:59,360,13,,51.2494,23.1011
08,lubuskie,2020-04-30T23:59:59,87,,1,52.2275,15.2559
10,łódzkie,2020-04-30T23:59:59,954,31,,51.4635,19.1727
12,małopolskie,2020-04-30T23:59:59,897,30,,49.7225,20.2503
14,mazowieckie,2020-04-30T23:59:59,2452,206,,51.8927,21.0022
16,opolskie,2020-04-30T23:59:59,394,28,,50.8004,17.938
18,podkarpackie,2020-04-30T23:59:59,329,23,,50.0575,22.0896
20,podlaskie,2020-04-30T23:59:59,375,3,,53.0697,22.9675
22,pomorskie,2020-04-30T23:59:59,428,11,,54.2944,18.1531
24,śląskie,2020-04-30T23:59:59,2239,118,,50.5717,19.322
26,świętokrzyskie,2020-04-30T23:59:59,270,8,,50.6261,20.9406
28,warmińsko-mazurskie,2020-04-30T23:59:59,148,1,,53.8671,20.7028
30,wielkopolskie,2020-04-30T23:59:59,1441,86,,52.28,17.3523
32,zachodniopomorskie,2020-04-30T23:59:59,396,10,,53.4658,15.1823
XX,nieokreślono,2020-04-30T23:59:59,,,3235,52.0693,19.4803
