TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-10-10T10:31:00,6646,196,,51.134,16.8842
04,kujawsko-pomorskie,2020-10-10T10:31:00,5056,95,,53.1648,18.4834
06,lubelskie,2020-10-10T10:31:00,4157,70,,51.2494,23.1011
08,lubuskie,2020-10-10T10:31:00,1522,21,1,52.2275,15.2559
10,łódzkie,2020-10-10T10:31:00,8844,304,,51.4635,19.1727
12,małopolskie,2020-10-10T10:31:00,15003,238,,49.7225,20.2503
14,mazowieckie,2020-10-10T10:31:00,16811,491,,51.8927,21.0022
16,opolskie,2020-10-10T10:31:00,3033,97,,50.8004,17.938
18,podkarpackie,2020-10-10T10:31:00,5883,173,,50.0575,22.0896
20,podlaskie,2020-10-10T10:31:00,3020,63,,53.0697,22.9675
22,pomorskie,2020-10-10T10:31:00,7482,121,,54.2944,18.1531
24,śląskie,2020-10-10T10:31:00,25193,600,,50.5717,19.322
26,świętokrzyskie,2020-10-10T10:31:00,3326,73,,50.6261,20.9406
28,warmińsko-mazurskie,2020-10-10T10:31:00,2461,36,,53.8671,20.7028
30,wielkopolskie,2020-10-10T10:31:00,10402,355,,52.28,17.3523
32,zachodniopomorskie,2020-10-10T10:31:00,2799,39,,53.4658,15.1823
,nieokreślono,2020-10-10T10:00:00,,,78981,52.0693,19.4803
