TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-08-21T10:30:00,3803,161,,51.134,16.8842
04,kujawsko-pomorskie,2020-08-21T10:30:00,1102,51,,53.1648,18.4834
06,lubelskie,2020-08-21T10:30:00,1352,24,,51.2494,23.1011
08,lubuskie,2020-08-21T10:30:00,620,13,1,52.2275,15.2559
10,łódzkie,2020-08-21T10:30:00,4815,225,,51.4635,19.1727
12,małopolskie,2020-08-21T10:30:00,6145,106,,49.7225,20.2503
14,mazowieckie,2020-08-21T10:30:00,8413,396,,51.8927,21.0022
16,opolskie,2020-08-21T10:30:00,1501,60,,50.8004,17.938
18,podkarpackie,2020-08-21T10:30:00,2022,78,,50.0575,22.0896
20,podlaskie,2020-08-21T10:30:00,1183,29,,53.0697,22.9675
22,pomorskie,2020-08-21T10:30:00,1894,43,,54.2944,18.1531
24,śląskie,2020-08-21T10:30:00,19463,454,,50.5717,19.322
26,świętokrzyskie,2020-08-21T10:30:00,1231,48,,50.6261,20.9406
28,warmińsko-mazurskie,2020-08-21T10:30:00,695,5,,53.8671,20.7028
30,wielkopolskie,2020-08-21T10:30:00,5015,218,,52.28,17.3523
32,zachodniopomorskie,2020-08-21T10:30:00,1027,27,,53.4658,15.1823
XX,nieokreślono,2020-08-21T10:00:00,,,41028,52.0693,19.4803
