TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-08-23T10:30:00,3858,161,,51.134,16.8842
04,kujawsko-pomorskie,2020-08-23T10:30:00,1126,51,,53.1648,18.4834
06,lubelskie,2020-08-23T10:30:00,1387,24,,51.2494,23.1011
08,lubuskie,2020-08-23T10:30:00,629,13,1,52.2275,15.2559
10,łódzkie,2020-08-23T10:30:00,4955,226,,51.4635,19.1727
12,małopolskie,2020-08-23T10:30:00,6436,109,,49.7225,20.2503
14,mazowieckie,2020-08-23T10:30:00,8612,400,,51.8927,21.0022
16,opolskie,2020-08-23T10:30:00,1535,60,,50.8004,17.938
18,podkarpackie,2020-08-23T10:30:00,2099,79,,50.0575,22.0896
20,podlaskie,2020-08-23T10:30:00,1196,29,,53.0697,22.9675
22,pomorskie,2020-08-23T10:30:00,2045,44,,54.2944,18.1531
24,śląskie,2020-08-23T10:30:00,19713,460,,50.5717,19.322
26,świętokrzyskie,2020-08-23T10:30:00,1250,49,,50.6261,20.9406
28,warmińsko-mazurskie,2020-08-23T10:30:00,738,5,,53.8671,20.7028
30,wielkopolskie,2020-08-23T10:30:00,5142,218,,52.28,17.3523
32,zachodniopomorskie,2020-08-23T10:30:00,1041,27,,53.4658,15.1823
XX,nieokreślono,2020-08-23T10:00:00,,,42182,52.0693,19.4803
