TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-12-20T10:31:00,83393,1768,,51.134,16.8842
04,kujawsko-pomorskie,2020-12-20T10:31:00,75653,1204,,53.1648,18.4834
06,lubelskie,2020-12-20T10:31:00,61183,1565,,51.2494,23.1011
08,lubuskie,2020-12-20T10:31:00,28415,622,1,52.2275,15.2559
10,łódzkie,2020-12-20T10:31:00,78649,1689,,51.4635,19.1727
12,małopolskie,2020-12-20T10:31:00,105292,2507,,49.7225,20.2503
14,mazowieckie,2020-12-20T10:31:00,144486,3043,,51.8927,21.0022
16,opolskie,2020-12-20T10:31:00,34576,934,,50.8004,17.938
18,podkarpackie,2020-12-20T10:31:00,57247,1695,,50.0575,22.0896
20,podlaskie,2020-12-20T10:31:00,31672,753,,53.0697,22.9675
22,pomorskie,2020-12-20T10:31:00,73135,1370,,54.2944,18.1531
24,śląskie,2020-12-20T10:31:00,147491,3117,,50.5717,19.322
26,świętokrzyskie,2020-12-20T10:31:00,33751,821,,50.6261,20.9406
28,warmińsko-mazurskie,2020-12-20T10:31:00,46579,994,,53.8671,53.8671
30,wielkopolskie,2020-12-20T10:31:00,121201,2471,,52.28,17.3523
32,zachodniopomorskie,2020-12-20T10:31:00,54156,844,,53.4658,15.1823
,nieokreślono,2020-12-20T10:00:00,25821,,938268,52.0693,19.4803
