TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-12-15T10:30:00,80313,1637,,51.134,16.8842
04,kujawsko-pomorskie,2020-12-15T10:30:00,70382,1042,,53.1648,18.4834
06,lubelskie,2020-12-15T10:30:00,58360,1436,,51.2494,23.1011
08,lubuskie,2020-12-15T10:30:00,26618,525,1,52.2275,15.2559
10,łódzkie,2020-12-15T10:30:00,75074,1519,,51.4635,19.1727
12,małopolskie,2020-12-15T10:30:00,103303,2406,,49.7225,20.2503
14,mazowieckie,2020-12-15T10:30:00,137797,2806,,51.8927,21.0022
16,opolskie,2020-12-15T10:30:00,33433,871,,50.8004,17.938
18,podkarpackie,2020-12-15T10:30:00,55961,1596,,50.0575,22.0896
20,podlaskie,2020-12-15T10:30:00,30287,684,,53.0697,22.9675
22,pomorskie,2020-12-15T10:30:00,68508,1264,,54.2944,18.1531
24,śląskie,2020-12-15T10:30:00,142772,2924,,50.5717,19.322
26,świętokrzyskie,2020-12-15T10:30:00,32866,768,,50.6261,20.9406
28,warmińsko-mazurskie,2020-12-15T10:30:00,42683,880,,53.8671,53.8671
30,wielkopolskie,2020-12-15T10:30:00,114777,2211,,52.28,17.3523
32,zachodniopomorskie,2020-12-15T10:30:00,49265,740,,53.4658,15.1823
,nieokreślono,2020-12-15T10:00:00,25047,,879747,52.0693,19.4803
