TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-12-21T10:31:00,83599,1773,,51.134,16.8842
04,kujawsko-pomorskie,2020-12-21T10:31:00,76133,1208,,53.1648,18.4834
06,lubelskie,2020-12-21T10:31:00,61428,1565,,51.2494,23.1011
08,lubuskie,2020-12-21T10:31:00,28583,622,1,52.2275,15.2559
10,łódzkie,2020-12-21T10:31:00,78914,1691,,51.4635,19.1727
12,małopolskie,2020-12-21T10:31:00,105499,2510,,49.7225,20.2503
14,mazowieckie,2020-12-21T10:31:00,145116,3053,,51.8927,21.0022
16,opolskie,2020-12-21T10:31:00,34714,936,,50.8004,17.938
18,podkarpackie,2020-12-21T10:31:00,57379,1700,,50.0575,22.0896
20,podlaskie,2020-12-21T10:31:00,31772,754,,53.0697,22.9675
22,pomorskie,2020-12-21T10:31:00,73684,1372,,54.2944,18.1531
24,śląskie,2020-12-21T10:31:00,147731,3119,,50.5717,19.322
26,świętokrzyskie,2020-12-21T10:31:00,33816,827,,50.6261,20.9406
28,warmińsko-mazurskie,2020-12-21T10:31:00,46750,995,,53.8671,53.8671
30,wielkopolskie,2020-12-21T10:31:00,121503,2503,,52.28,17.3523
32,zachodniopomorskie,2020-12-21T10:31:00,54717,846,,53.4658,15.1823
,nieokreślono,2020-12-21T10:00:00,25995,,946016,52.0693,19.4803
