TERYT,Województwo,Województwo,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-26T10:31:00,66238,1075,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-26T10:31:00,52724,587,,53.1648,18.4834
06,lubelskie,2020-11-26T10:31:00,47510,927,,51.2494,23.1011
08,lubuskie,2020-11-26T10:31:00,20386,315,1,52.2275,15.2559
10,łódzkie,2020-11-26T10:31:00,62086,900,,51.4635,19.1727
12,małopolskie,2020-11-26T10:31:00,93673,1851,,49.7225,20.2503
14,mazowieckie,2020-11-26T10:31:00,112351,1941,,51.8927,21.0022
16,opolskie,2020-11-26T10:31:00,27494,609,,50.8004,17.938
18,podkarpackie,2020-11-26T10:31:00,49385,1159,,50.0575,22.0896
20,podlaskie,2020-11-26T10:31:00,24828,446,,53.0697,22.9675
22,pomorskie,2020-11-26T10:31:00,52893,784,,54.2944,18.1531
24,śląskie,2020-11-26T10:31:00,123303,2088,,50.5717,19.322
26,świętokrzyskie,2020-11-26T10:31:00,28688,542,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-26T10:31:00,29208,436,,53.8671,20.7028
30,wielkopolskie,2020-11-26T10:31:00,92557,1464,,52.28,17.3523
32,zachodniopomorskie,2020-11-26T10:31:00,34803,444,,53.4658,15.1823
,nieokreślono,2020-11-26T10:00:00,22985,,494868,52.0693,19.4803
