TERYT,Województwo,Województwo,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-27T10:58:00,67556,1140,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-27T10:58:00,54092,617,,53.1648,18.4834
06,lubelskie,2020-11-27T10:58:00,48312,964,,51.2494,23.1011
08,lubuskie,2020-11-27T10:58:00,20880,342,1,52.2275,15.2559
10,łódzkie,2020-11-27T10:58:00,63087,943,,51.4635,19.1727
12,małopolskie,2020-11-27T10:58:00,94541,1894,,49.7225,20.2503
14,mazowieckie,2020-11-27T10:58:00,114408,2022,,51.8927,21.0022
16,opolskie,2020-11-27T10:58:00,28030,628,,50.8004,17.938
18,podkarpackie,2020-11-27T10:58:00,50175,1192,,50.0575,22.0896
20,podlaskie,2020-11-27T10:58:00,25319,471,,53.0697,22.9675
22,pomorskie,2020-11-27T10:58:00,54151,814,,54.2944,18.1531
24,śląskie,2020-11-27T10:58:00,124863,2138,,50.5717,19.322
26,świętokrzyskie,2020-11-27T10:58:00,29094,561,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-27T10:58:00,30273,466,,53.8671,20.7028
30,wielkopolskie,2020-11-27T10:58:00,94629,1489,,52.28,17.3523
32,zachodniopomorskie,2020-11-27T10:58:00,35718,466,,53.4658,15.1823
,nieokreślono,2020-11-27T10:00:00,23288,,516635,52.0693,19.4803
