TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-07-29T10:30:00,3218,155,,51.134,16.8842
04,kujawsko-pomorskie,2020-07-29T10:30:00,764,50,,53.1648,18.4834
06,lubelskie,2020-07-29T10:30:00,945,20,,51.2494,23.1011
08,lubuskie,2020-07-29T10:30:00,380,8,1,52.2275,15.2559
10,łódzkie,2020-07-29T10:30:00,3883,206,,51.4635,19.1727
12,małopolskie,2020-07-29T10:30:00,3325,54,,49.7225,20.2503
14,mazowieckie,2020-07-29T10:30:00,6224,374,,51.8927,21.0022
16,opolskie,2020-07-29T10:30:00,1151,54,,50.8004,17.938
18,podkarpackie,2020-07-29T10:30:00,1230,60,,50.0575,22.0896
20,podlaskie,2020-07-29T10:30:00,962,20,,53.0697,22.9675
22,pomorskie,2020-07-29T10:30:00,875,39,,54.2944,18.1531
24,śląskie,2020-07-29T10:30:00,15780,387,,50.5717,19.322
26,świętokrzyskie,2020-07-29T10:30:00,961,45,,50.6261,20.9406
28,warmińsko-mazurskie,2020-07-29T10:30:00,348,2,,53.8671,20.7028
30,wielkopolskie,2020-07-29T10:30:00,3655,197,,52.28,17.3523
32,zachodniopomorskie,2020-07-29T10:30:00,715,23,,53.4658,15.1823
XX,nieokreślono,2020-07-29T10:00:00,,,33189,52.0693,19.4803
