TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-08T10:30:00,33306,514,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-08T10:30:00,33670,224,,53.1648,18.4834
06,lubelskie,2020-11-08T10:30:00,28916,425,,51.2494,23.1011
08,lubuskie,2020-11-08T10:30:00,10380,150,1,52.2275,15.2559
10,łódzkie,2020-11-08T10:30:00,39642,515,,51.4635,19.1727
12,małopolskie,2020-11-08T10:30:00,61228,924,,49.7225,20.2503
14,mazowieckie,2020-11-08T10:30:00,73262,1030,,51.8927,21.0022
16,opolskie,2020-11-08T10:30:00,15241,290,,50.8004,17.938
18,podkarpackie,2020-11-08T10:30:00,33109,597,,50.0575,22.0896
20,podlaskie,2020-11-08T10:30:00,14003,189,,53.0697,22.9675
22,pomorskie,2020-11-08T10:30:00,30677,403,,54.2944,18.1531
24,śląskie,2020-11-08T10:30:00,71508,1169,,50.5717,19.322
26,świętokrzyskie,2020-11-08T10:30:00,16748,310,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-08T10:30:00,13919,178,,53.8671,20.7028
30,wielkopolskie,2020-11-08T10:30:00,53992,776,,52.28,17.3523
32,zachodniopomorskie,2020-11-08T10:30:00,16824,178,,53.4658,15.1823
,nieokreślono,2020-11-08T10:00:00,,,209362,52.0693,19.4803
