TERYT,Województwo,Województwo,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-12-14T10:30:00,79794,1607,,51.134,16.8842
04,kujawsko-pomorskie,2020-12-14T10:30:00,69632,1014,,53.1648,18.4834
06,lubelskie,2020-12-14T10:30:00,57923,1422,,51.2494,23.1011
08,lubuskie,2020-12-14T10:30:00,26468,508,1,52.2275,15.2559
10,łódzkie,2020-12-14T10:30:00,74628,1493,,51.4635,19.1727
12,małopolskie,2020-12-14T10:30:00,103071,2379,,49.7225,20.2503
14,mazowieckie,2020-12-14T10:30:00,137029,2783,,51.8927,21.0022
16,opolskie,2020-12-14T10:30:00,33304,854,,50.8004,17.938
18,podkarpackie,2020-12-14T10:30:00,55655,1589,,50.0575,22.0896
20,podlaskie,2020-12-14T10:30:00,30118,679,,53.0697,22.9675
22,pomorskie,2020-12-14T10:30:00,68013,1235,,54.2944,18.1531
24,śląskie,2020-12-14T10:30:00,142164,2879,,50.5717,19.322
26,świętokrzyskie,2020-12-14T10:30:00,32692,760,,50.6261,20.9406
28,warmińsko-mazurskie,2020-12-14T10:30:00,42111,857,,53.8671,53.8671
30,wielkopolskie,2020-12-14T10:30:00,114138,2165,,52.28,17.3523
32,zachodniopomorskie,2020-12-14T10:30:00,48937,736,,53.4658,15.1823
,nieokreślono,2020-12-14T10:00:00,24895,,869154,52.0693,19.4803
