TERYT,Województwo,Województwo,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-12-02T10:30:00,71824,1297,,51.134,16.8842
04,kujawsko-pomorskie,2020-12-02T10:30:00,58470,736,,53.1648,18.4834
06,lubelskie,2020-12-02T10:30:00,51456,1124,,51.2494,23.1011
08,lubuskie,2020-12-02T10:30:00,22484,380,1,52.2275,15.2559
10,łódzkie,2020-12-02T10:30:00,66586,1102,,51.4635,19.1727
12,małopolskie,2020-12-02T10:30:00,97231,2056,,49.7225,20.2503
14,mazowieckie,2020-12-02T10:30:00,120857,2241,,51.8927,21.0022
16,opolskie,2020-12-02T10:30:00,29707,708,,50.8004,17.938
18,podkarpackie,2020-12-02T10:30:00,52292,1329,,50.0575,22.0896
20,podlaskie,2020-12-02T10:30:00,26834,509,,53.0697,22.9675
22,pomorskie,2020-12-02T10:30:00,58099,983,,54.2944,18.1531
24,śląskie,2020-12-02T10:30:00,130241,2333,,50.5717,19.322
26,świętokrzyskie,2020-12-02T10:30:00,30406,620,,50.6261,20.9406
28,warmińsko-mazurskie,2020-12-02T10:30:00,33487,596,,53.8671,20.7028
30,wielkopolskie,2020-12-02T10:30:00,100856,1673,,52.28,17.3523
32,zachodniopomorskie,2020-12-02T10:30:00,39211,521,,53.4658,15.1823
,nieokreślono,2020-12-02T10:00:00,23706,,622979,52.0693,19.4803
