TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-10-17T10:30:00,9035,217,,51.134,16.8842
04,kujawsko-pomorskie,2020-10-17T10:30:00,7405,114,,53.1648,18.4834
06,lubelskie,2020-10-17T10:30:00,6287,112,,51.2494,23.1011
08,lubuskie,2020-10-17T10:30:00,2420,31,1,52.2275,15.2559
10,łódzkie,2020-10-17T10:30:00,12416,323,,51.4635,19.1727
12,małopolskie,2020-10-17T10:30:00,22075,321,,49.7225,20.2503
14,mazowieckie,2020-10-17T10:30:00,23127,535,,51.8927,21.0022
16,opolskie,2020-10-17T10:30:00,4569,115,,50.8004,17.938
18,podkarpackie,2020-10-17T10:30:00,8929,234,,50.0575,22.0896
20,podlaskie,2020-10-17T10:30:00,4106,82,,53.0697,22.9675
22,pomorskie,2020-10-17T10:30:00,10327,168,,54.2944,18.1531
24,śląskie,2020-10-17T10:30:00,29126,659,,50.5717,19.322
26,świętokrzyskie,2020-10-17T10:30:00,5034,102,,50.6261,20.9406
28,warmińsko-mazurskie,2020-10-17T10:30:00,3511,49,,53.8671,20.7028
30,wielkopolskie,2020-10-17T10:30:00,14639,415,,52.28,17.3523
32,zachodniopomorskie,2020-10-17T10:30:00,4224,47,,53.4658,15.1823
,nieokreślono,2020-10-17T10:00:00,,,90161,52.0693,19.4803
