TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-09-10T10:34:00,4298,169,,51.134,16.8842
04,kujawsko-pomorskie,2020-09-10T10:34:00,1517,54,,53.1648,18.4834
06,lubelskie,2020-09-10T10:34:00,1773,29,,51.2494,23.1011
08,lubuskie,2020-09-10T10:34:00,768,17,1,52.2275,15.2559
10,łódzkie,2020-09-10T10:34:00,5547,243,,51.4635,19.1727
12,małopolskie,2020-09-10T10:34:00,8519,153,,49.7225,20.2503
14,mazowieckie,2020-09-10T10:34:00,10139,420,,51.8927,21.0022
16,opolskie,2020-09-10T10:34:00,1762,64,,50.8004,17.938
18,podkarpackie,2020-09-10T10:34:00,2800,94,,50.0575,22.0896
20,podlaskie,2020-09-10T10:34:00,1408,33,,53.0697,22.9675
22,pomorskie,2020-09-10T10:34:00,2908,50,,54.2944,18.1531
24,śląskie,2020-09-10T10:34:00,21009,507,,50.5717,19.322
26,świętokrzyskie,2020-09-10T10:34:00,1590,53,,50.6261,20.9406
28,warmińsko-mazurskie,2020-09-10T10:34:00,1027,9,,53.8671,20.7028
30,wielkopolskie,2020-09-10T10:34:00,6173,236,,52.28,17.3523
32,zachodniopomorskie,2020-09-10T10:34:00,1215,28,,53.4658,15.1823
,nieokreślono,2020-09-10T10:00:00,,,58068,52.0693,19.4803
