TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-10-05T10:30:00,5572,184,,51.134,16.8842
04,kujawsko-pomorskie,2020-10-05T10:30:00,3530,74,,53.1648,18.4834
06,lubelskie,2020-10-05T10:30:00,3273,54,,51.2494,23.1011
08,lubuskie,2020-10-05T10:30:00,1278,21,1,52.2275,15.2559
10,łódzkie,2020-10-05T10:30:00,7413,283,,51.4635,19.1727
12,małopolskie,2020-10-05T10:30:00,12475,204,,49.7225,20.2503
14,mazowieckie,2020-10-05T10:30:00,14031,457,,51.8927,21.0022
16,opolskie,2020-10-05T10:30:00,2583,81,,50.8004,17.938
18,podkarpackie,2020-10-05T10:30:00,4634,148,,50.0575,22.0896
20,podlaskie,2020-10-05T10:30:00,2496,48,,53.0697,22.9675
22,pomorskie,2020-10-05T10:30:00,6027,97,,54.2944,18.1531
24,śląskie,2020-10-05T10:30:00,23412,566,,50.5717,19.322
26,świętokrzyskie,2020-10-05T10:30:00,2469,60,,50.6261,20.9406
28,warmińsko-mazurskie,2020-10-05T10:30:00,1990,24,,53.8671,20.7028
30,wielkopolskie,2020-10-05T10:30:00,8753,322,,52.28,17.3523
32,zachodniopomorskie,2020-10-05T10:30:00,2144,36,,53.4658,15.1823
,nieokreślono,2020-10-05T10:00:00,,,73551,52.0693,19.4803
