TERYT,Województwo,Województwo,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-12-10T10:30:00,77543,1523,,51.134,16.8842
04,kujawsko-pomorskie,2020-12-10T10:30:00,66260,888,,53.1648,18.4834
06,lubelskie,2020-12-10T10:30:00,55982,1359,,51.2494,23.1011
08,lubuskie,2020-12-10T10:30:00,25141,471,1,52.2275,15.2559
10,łódzkie,2020-12-10T10:30:00,72333,1416,,51.4635,19.1727
12,małopolskie,2020-12-10T10:30:00,101742,2311,,49.7225,20.2503
14,mazowieckie,2020-12-10T10:30:00,131790,2614,,51.8927,21.0022
16,opolskie,2020-12-10T10:30:00,32343,832,,50.8004,17.938
18,podkarpackie,2020-12-10T10:30:00,54486,1522,,50.0575,22.0896
20,podlaskie,2020-12-10T10:30:00,29145,618,,53.0697,22.9675
22,pomorskie,2020-12-10T10:30:00,64651,1174,,54.2944,18.1531
24,śląskie,2020-12-10T10:30:00,139151,2729,,50.5717,19.322
26,świętokrzyskie,2020-12-10T10:30:00,32051,735,,50.6261,20.9406
28,warmińsko-mazurskie,2020-12-10T10:30:00,39256,783,,53.8671,53.8671
30,wielkopolskie,2020-12-10T10:30:00,110171,1984,,52.28,17.3523
32,zachodniopomorskie,2020-12-10T10:30:00,45700,671,,53.4658,15.1823
,nieokreślono,2020-12-10T10:00:00,24351,,792118,52.0693,19.4803
