TERYT,Województwo,Województwo,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-22T10:30:00,62231,931,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-22T10:30:00,48744,510,,53.1648,18.4834
06,lubelskie,2020-11-22T10:30:00,44086,821,,51.2494,23.1011
08,lubuskie,2020-11-22T10:30:00,18701,280,1,52.2275,15.2559
10,łódzkie,2020-11-22T10:30:00,58508,738,,51.4635,19.1727
12,małopolskie,2020-11-22T10:30:00,89939,1628,,49.7225,20.2503
14,mazowieckie,2020-11-22T10:30:00,105528,1715,,51.8927,21.0022
16,opolskie,2020-11-22T10:30:00,25443,521,,50.8004,17.938
18,podkarpackie,2020-11-22T10:30:00,47066,1028,,50.0575,22.0896
20,podlaskie,2020-11-22T10:30:00,23151,387,,53.0697,22.9675
22,pomorskie,2020-11-22T10:30:00,48724,683,,54.2944,18.1531
24,śląskie,2020-11-22T10:30:00,117899,1878,,50.5717,19.322
26,świętokrzyskie,2020-11-22T10:30:00,27189,493,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-22T10:30:00,25803,347,,53.8671,20.7028
30,wielkopolskie,2020-11-22T10:30:00,86940,1300,,52.28,17.3523
32,zachodniopomorskie,2020-11-22T10:30:00,31379,358,,53.4658,15.1823
,nieokreślono,2020-11-22T10:00:00,,,423970,52.0693,19.4803
