TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-09T10:30:00,35025,525,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-09T10:30:00,34688,250,,53.1648,18.4834
06,lubelskie,2020-11-09T10:30:00,30117,440,,51.2494,23.1011
08,lubuskie,2020-11-09T10:30:00,10923,154,1,52.2275,15.2559
10,łódzkie,2020-11-09T10:30:00,40911,523,,51.4635,19.1727
12,małopolskie,2020-11-09T10:30:00,63878,933,,49.7225,20.2503
14,mazowieckie,2020-11-09T10:30:00,74892,1067,,51.8927,21.0022
16,opolskie,2020-11-09T10:30:00,15832,291,,50.8004,17.938
18,podkarpackie,2020-11-09T10:30:00,34369,608,,50.0575,22.0896
20,podlaskie,2020-11-09T10:30:00,14500,205,,53.0697,22.9675
22,pomorskie,2020-11-09T10:30:00,31799,407,,54.2944,18.1531
24,śląskie,2020-11-09T10:30:00,75881,1181,,50.5717,19.322
26,świętokrzyskie,2020-11-09T10:30:00,17092,312,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-09T10:30:00,14613,181,,53.8671,20.7028
30,wielkopolskie,2020-11-09T10:30:00,55975,790,,52.28,17.3523
32,zachodniopomorskie,2020-11-09T10:30:00,17643,178,,53.4658,15.1823
,nieokreślono,2020-11-09T10:00:00,,,219370,52.0693,19.4803
