TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-06-24T10:53:00,2878,137,,51.134,16.8842
04,kujawsko-pomorskie,2020-06-24T10:53:00,653,49,,53.1648,18.4834
06,lubelskie,2020-06-24T10:53:00,614,17,,51.2494,23.1011
08,lubuskie,2020-06-22T10:33:00,145,,1,52.2275,15.2559
10,łódzkie,2020-06-24T10:53:00,2957,148,,51.4635,19.1727
12,małopolskie,2020-06-24T10:53:00,1629,44,,49.7225,20.2503
14,mazowieckie,2020-06-24T10:53:00,4832,324,,51.8927,21.0022
16,opolskie,2020-06-24T10:53:00,866,50,,50.8004,17.938
18,podkarpackie,2020-06-24T10:53:00,577,50,,50.0575,22.0896
20,podlaskie,2020-06-24T10:53:00,749,10,,53.0697,22.9675
22,pomorskie,2020-06-24T10:53:00,643,38,,54.2944,18.1531
24,śląskie,2020-06-24T10:53:00,12192,301,,50.5717,19.322
26,świętokrzyskie,2020-06-24T10:53:00,742,36,,50.6261,20.9406
28,warmińsko-mazurskie,2020-06-24T10:53:00,223,1,,53.8671,20.7028
30,wielkopolskie,2020-06-24T10:53:00,2518,171,,52.28,17.3523
32,zachodniopomorskie,2020-06-24T10:53:00,603,20,,53.4658,15.1823
XX,nieokreślono,2020-06-24T10:00:00,,,18133,52.0693,19.4803
