TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-09-09T10:30:00,4278,168,,51.134,16.8842
04,kujawsko-pomorskie,2020-09-09T10:30:00,1497,54,,53.1648,18.4834
06,lubelskie,2020-09-09T10:30:00,1752,28,,51.2494,23.1011
08,lubuskie,2020-09-09T10:30:00,762,17,1,52.2275,15.2559
10,łódzkie,2020-09-09T10:30:00,5534,241,,51.4635,19.1727
12,małopolskie,2020-09-09T10:30:00,8420,153,,49.7225,20.2503
14,mazowieckie,2020-09-09T10:30:00,10071,419,,51.8927,21.0022
16,opolskie,2020-09-09T10:30:00,1738,64,,50.8004,17.938
18,podkarpackie,2020-09-09T10:30:00,2783,94,,50.0575,22.0896
20,podlaskie,2020-09-09T10:30:00,1392,32,,53.0697,22.9675
22,pomorskie,2020-09-09T10:30:00,2876,50,,54.2944,18.1531
24,śląskie,2020-09-09T10:30:00,20958,506,,50.5717,19.322
26,świętokrzyskie,2020-09-09T10:30:00,1572,53,,50.6261,20.9406
28,warmińsko-mazurskie,2020-09-09T10:30:00,1014,9,,53.8671,20.7028
30,wielkopolskie,2020-09-09T10:30:00,6097,231,,52.28,17.3523
32,zachodniopomorskie,2020-09-09T10:30:00,1203,28,,53.4658,15.1823
,nieokreślono,2020-09-09T10:00:00,,,57134,52.0693,19.4803
