TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-28T10:31:00,69037,1170,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-28T10:31:00,55096,646,,53.1648,18.4834
06,lubelskie,2020-11-28T10:31:00,49249,1001,,51.2494,23.1011
08,lubuskie,2020-11-28T10:31:00,21278,362,1,52.2275,15.2559
10,łódzkie,2020-11-28T10:31:00,63745,1003,,51.4635,19.1727
12,małopolskie,2020-11-28T10:31:00,95202,1936,,49.7225,20.2503
14,mazowieckie,2020-11-28T10:31:00,116394,2082,,51.8927,21.0022
16,opolskie,2020-11-28T10:31:00,28459,646,,50.8004,17.938
18,podkarpackie,2020-11-28T10:31:00,50888,1243,,50.0575,22.0896
20,podlaskie,2020-11-28T10:31:00,25800,486,,53.0697,22.9675
22,pomorskie,2020-11-28T10:31:00,55177,858,,54.2944,18.1531
24,śląskie,2020-11-28T10:31:00,126265,2192,,50.5717,19.322
26,świętokrzyskie,2020-11-28T10:31:00,29404,577,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-28T10:31:00,31223,513,,53.8671,20.7028
30,wielkopolskie,2020-11-28T10:31:00,96377,1549,,52.28,17.3523
32,zachodniopomorskie,2020-11-28T10:31:00,36620,482,,53.4658,15.1823
,nieokreślono,2020-11-28T10:00:00,23379,,538272,52.0693,19.4803
