TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-14T10:30:00,47691,696,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-14T10:30:00,39905,373,,53.1648,18.4834
06,lubelskie,2020-11-14T10:30:00,35471,553,,51.2494,23.1011
08,lubuskie,2020-11-14T10:30:00,14404,191,1,52.2275,15.2559
10,łódzkie,2020-11-14T10:30:00,48327,594,,51.4635,19.1727
12,małopolskie,2020-11-14T10:30:00,76127,1195,,49.7225,20.2503
14,mazowieckie,2020-11-14T10:30:00,84425,1299,,51.8927,21.0022
16,opolskie,2020-11-14T10:30:00,19949,408,,50.8004,17.938
18,podkarpackie,2020-11-14T10:30:00,40459,732,,50.0575,22.0896
20,podlaskie,2020-11-14T10:30:00,17916,275,,53.0697,22.9675
22,pomorskie,2020-11-14T10:30:00,38099,508,,54.2944,18.1531
24,śląskie,2020-11-14T10:30:00,95428,1448,,50.5717,19.322
26,świętokrzyskie,2020-11-14T10:30:00,21267,379,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-14T10:30:00,18531,221,,53.8671,20.7028
30,wielkopolskie,2020-11-14T10:30:00,70742,956,,52.28,17.3523
32,zachodniopomorskie,2020-11-14T10:30:00,22377,217,,53.4658,15.1823
,nieokreślono,2020-11-14T10:00:00,,,282214,52.0693,19.4803
