TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-11-16T10:48:00,51491,715,,51.134,16.8842
04,kujawsko-pomorskie,2020-11-16T10:48:00,42524,385,,53.1648,18.4834
06,lubelskie,2020-11-16T10:48:00,37882,615,,51.2494,23.1011
08,lubuskie,2020-11-16T10:48:00,15400,196,1,52.2275,15.2559
10,łódzkie,2020-11-16T10:48:00,50799,605,,51.4635,19.1727
12,małopolskie,2020-11-16T10:48:00,79281,1232,,49.7225,20.2503
14,mazowieckie,2020-11-16T10:48:00,88503,1376,,51.8927,21.0022
16,opolskie,2020-11-16T10:48:00,21110,420,,50.8004,17.938
18,podkarpackie,2020-11-16T10:48:00,42227,763,,50.0575,22.0896
20,podlaskie,2020-11-16T10:48:00,19128,285,,53.0697,22.9675
22,pomorskie,2020-11-16T10:48:00,40182,525,,54.2944,18.1531
24,śląskie,2020-11-16T10:48:00,102326,1502,,50.5717,19.322
26,świętokrzyskie,2020-11-16T10:48:00,22739,388,,50.6261,20.9406
28,warmińsko-mazurskie,2020-11-16T10:48:00,20391,238,,53.8671,20.7028
30,wielkopolskie,2020-11-16T10:48:00,75285,1014,,52.28,17.3523
32,zachodniopomorskie,2020-11-16T10:48:00,24520,232,,53.4658,15.1823
,nieokreślono,2020-11-16T10:00:00,,,306021,52.0693,19.4803
