TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2022-02-23 10:30:00,425773,7066,341346,51.134,16.8842
04,kujawsko-pomorskie,2022-02-23 10:30:00,330347,6800,236620,53.1648,18.4834
06,lubelskie,2022-02-23 10:30:00,286462,7428,221720,51.2494,23.1011
08,lubuskie,2022-02-23 10:30:00,137978,2914,106149,52.2275,15.2559
10,łódzkie,2022-02-23 10:30:00,344258,7649,261332,51.4635,19.1727
12,małopolskie,2022-02-23 10:30:00,440024,8998,337749,49.7225,20.2503
14,mazowieckie,2022-02-23 10:30:00,839648,13786,687600,51.8927,21.0022
16,opolskie,2022-02-23 10:30:00,140080,3212,105099,50.8004,17.938
18,podkarpackie,2022-02-23 10:30:00,235425,6825,178584,50.0575,22.0896
20,podlaskie,2022-02-23 10:30:00,141084,3550,107137,53.0697,22.9675
22,pomorskie,2022-02-23 10:30:00,370061,6168,288869,54.2944,18.1531
24,śląskie,2022-02-23 10:30:00,687632,13426,545408,50.5717,19.322
26,świętokrzyskie,2022-02-23 10:30:00,134355,3865,98611,50.6261,20.9406
28,warmińsko-mazurskie,2022-02-23 10:30:00,217099,4348,159901,53.8671,20.7028
30,wielkopolskie,2022-02-23 10:30:00,534614,10041,398546,52.28,17.3523
32,zachodniopomorskie,2022-02-23 10:30:00,262116,4350,196232,53.4658,15.1823
,nieokreślono,2022-02-23 10:30:00,75724,91,698978,52.0693,19.4803
