TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2022-01-15 10:30:00,321758,6498,225123,51.134,16.8842
04,kujawsko-pomorskie,2022-01-15 10:30:00,249378,6363,154994,53.1648,18.4834
06,lubelskie,2022-01-15 10:30:00,219814,7029,148905,51.2494,23.1011
08,lubuskie,2022-01-15 10:30:00,107577,2711,74846,52.2275,15.2559
10,łódzkie,2022-01-15 10:30:00,262736,6964,171794,51.4635,19.1727
12,małopolskie,2022-01-15 10:30:00,343389,8234,220675,49.7225,20.2503
14,mazowieckie,2022-01-15 10:30:00,639687,12947,466941,51.8927,21.0022
16,opolskie,2022-01-15 10:30:00,108715,2955,69207,50.8004,17.938
18,podkarpackie,2022-01-15 10:30:00,185297,6249,118659,50.0575,22.0896
20,podlaskie,2022-01-15 10:30:00,113347,3341,77208,53.0697,22.9675
22,pomorskie,2022-01-15 10:30:00,277302,5685,183849,54.2944,18.1531
24,śląskie,2022-01-15 10:30:00,520026,12355,351282,50.5717,19.322
26,świętokrzyskie,2022-01-15 10:30:00,103233,3482,65907,50.6261,20.9406
28,warmińsko-mazurskie,2022-01-15 10:30:00,171142,4032,110820,53.8671,20.7028
30,wielkopolskie,2022-01-15 10:30:00,404532,9344,260973,52.28,17.3523
32,zachodniopomorskie,2022-01-15 10:30:00,202826,3996,132585,53.4658,15.1823
,nieokreślono,2022-01-15 10:30:00,67616,85,946245,52.0693,19.4803
