TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2022-01-25 10:30:00,346395,6591,237662,51.134,16.8842
04,kujawsko-pomorskie,2022-01-25 10:30:00,258642,6465,160822,53.1648,18.4834
06,lubelskie,2022-01-25 10:30:00,233437,7097,155020,51.2494,23.1011
08,lubuskie,2022-01-25 10:30:00,111512,2748,77546,52.2275,15.2559
10,łódzkie,2022-01-25 10:30:00,278267,7150,179154,51.4635,19.1727
12,małopolskie,2022-01-25 10:30:00,373878,8402,240847,49.7225,20.2503
14,mazowieckie,2022-01-25 10:30:00,690421,13158,492354,51.8927,21.0022
16,opolskie,2022-01-25 10:30:00,115211,3025,72764,50.8004,17.938
18,podkarpackie,2022-01-25 10:30:00,201829,6345,126594,50.0575,22.0896
20,podlaskie,2022-01-25 10:30:00,118334,3379,79477,53.0697,22.9675
22,pomorskie,2022-01-25 10:30:00,296802,5787,194100,54.2944,18.1531
24,śląskie,2022-01-25 10:30:00,564075,12563,369165,50.5717,19.322
26,świętokrzyskie,2022-01-25 10:30:00,108713,3588,69188,50.6261,20.9406
28,warmińsko-mazurskie,2022-01-25 10:30:00,179837,4112,114921,53.8671,20.7028
30,wielkopolskie,2022-01-25 10:30:00,424635,9520,272546,52.28,17.3523
32,zachodniopomorskie,2022-01-25 10:30:00,213067,4081,138593,53.4658,15.1823
,nieokreślono,2022-01-25 10:30:00,69305,86,886161,52.0693,19.4803
