TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2022-01-09 10:30:00,314720,6235,218512,51.134,16.8842
04,kujawsko-pomorskie,2022-01-09 10:30:00,245992,6228,151390,53.1648,18.4834
06,lubelskie,2022-01-09 10:30:00,215958,6914,145848,51.2494,23.1011
08,lubuskie,2022-01-09 10:30:00,106085,2633,73051,52.2275,15.2559
10,łódzkie,2022-01-09 10:30:00,258535,6793,167367,51.4635,19.1727
12,małopolskie,2022-01-09 10:30:00,331817,7979,211607,49.7225,20.2503
14,mazowieckie,2022-01-09 10:30:00,625132,12676,455232,51.8927,21.0022
16,opolskie,2022-01-09 10:30:00,106645,2878,66985,50.8004,17.938
18,podkarpackie,2022-01-09 10:30:00,180421,6105,115297,50.0575,22.0896
20,podlaskie,2022-01-09 10:30:00,112014,3286,75988,53.0697,22.9675
22,pomorskie,2022-01-09 10:30:00,271364,5523,178637,54.2944,18.1531
24,śląskie,2022-01-09 10:30:00,509987,12028,342648,50.5717,19.322
26,świętokrzyskie,2022-01-09 10:30:00,101363,3389,64052,50.6261,20.9406
28,warmińsko-mazurskie,2022-01-09 10:30:00,168685,3945,108369,53.8671,20.7028
30,wielkopolskie,2022-01-09 10:30:00,397900,9149,253876,52.28,17.3523
32,zachodniopomorskie,2022-01-09 10:30:00,199584,3895,128700,53.4658,15.1823
,nieokreślono,2022-01-09 10:30:00,66995,86,965016,52.0693,19.4803
