TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2022-02-19 10:30:00,421792,7016,329041,51.134,16.8842
04,kujawsko-pomorskie,2022-02-19 10:30:00,323768,6757,219584,53.1648,18.4834
06,lubelskie,2022-02-19 10:30:00,283305,7393,213842,51.2494,23.1011
08,lubuskie,2022-02-19 10:30:00,135504,2903,99987,52.2275,15.2559
10,łódzkie,2022-02-19 10:30:00,340612,7583,251496,51.4635,19.1727
12,małopolskie,2022-02-19 10:30:00,436923,8960,329106,49.7225,20.2503
14,mazowieckie,2022-02-19 10:30:00,829843,13691,665838,51.8927,21.0022
16,opolskie,2022-02-19 10:30:00,138917,3181,101369,50.8004,17.938
18,podkarpackie,2022-02-19 10:30:00,234434,6806,175280,50.0575,22.0896
20,podlaskie,2022-02-19 10:30:00,139663,3519,103587,53.0697,22.9675
22,pomorskie,2022-02-19 10:30:00,366439,6118,278383,54.2944,18.1531
24,śląskie,2022-02-19 10:30:00,683010,13299,531870,50.5717,19.322
26,świętokrzyskie,2022-02-19 10:30:00,132347,3837,93734,50.6261,20.9406
28,warmińsko-mazurskie,2022-02-19 10:30:00,214193,4326,153733,53.8671,20.7028
30,wielkopolskie,2022-02-19 10:30:00,525864,9995,375996,52.28,17.3523
32,zachodniopomorskie,2022-02-19 10:30:00,258156,4316,187387,53.4658,15.1823
,nieokreślono,2022-02-19 10:30:00,75392,92,713977,52.0693,19.4803
