TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-07-09T10:31:00,2957,150,,51.134,16.8842
04,kujawsko-pomorskie,2020-07-09T10:31:00,693,49,,53.1648,18.4834
06,lubelskie,2020-07-09T10:31:00,747,19,,51.2494,23.1011
08,lubuskie,2020-07-09T10:31:00,155,,1,52.2275,15.2559
10,łódzkie,2020-07-09T10:31:00,3341,184,,51.4635,19.1727
12,małopolskie,2020-07-09T10:31:00,1947,45,,49.7225,20.2503
14,mazowieckie,2020-07-09T10:31:00,5301,350,,51.8927,21.0022
16,opolskie,2020-07-09T10:31:00,986,53,,50.8004,17.938
18,podkarpackie,2020-07-09T10:31:00,825,55,,50.0575,22.0896
20,podlaskie,2020-07-09T10:31:00,895,13,,53.0697,22.9675
22,pomorskie,2020-07-08T10:30:00,693,38,,54.2944,18.1531
24,śląskie,2020-07-09T10:31:00,13583,351,,50.5717,19.322
26,świętokrzyskie,2020-07-09T10:31:00,851,41,,50.6261,20.9406
28,warmińsko-mazurskie,2020-07-09T10:31:00,278,1,,53.8671,20.7028
30,wielkopolskie,2020-07-09T10:31:00,3076,179,,52.28,17.3523
32,zachodniopomorskie,2020-07-09T10:31:00,623,23,,53.4658,15.1823
XX,nieokreślono,2020-07-09T10:00:00,,,25476,52.0693,19.4803
