TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-08-22T10:37:00,3834,161,,51.134,16.8842
04,kujawsko-pomorskie,2020-08-22T10:37:00,1120,51,,53.1648,18.4834
06,lubelskie,2020-08-22T10:37:00,1375,24,,51.2494,23.1011
08,lubuskie,2020-08-22T10:37:00,625,13,1,52.2275,15.2559
10,łódzkie,2020-08-22T10:37:00,4888,226,,51.4635,19.1727
12,małopolskie,2020-08-22T10:37:00,6338,109,,49.7225,20.2503
14,mazowieckie,2020-08-22T10:37:00,8563,398,,51.8927,21.0022
16,opolskie,2020-08-22T10:37:00,1530,60,,50.8004,17.938
18,podkarpackie,2020-08-22T10:37:00,2054,79,,50.0575,22.0896
20,podlaskie,2020-08-22T10:37:00,1190,29,,53.0697,22.9675
22,pomorskie,2020-08-22T10:37:00,1959,43,,54.2944,18.1531
24,śląskie,2020-08-22T10:37:00,19616,459,,50.5717,19.322
26,świętokrzyskie,2020-08-22T10:37:00,1242,49,,50.6261,20.9406
28,warmińsko-mazurskie,2020-08-22T10:37:00,713,5,,53.8671,20.7028
30,wielkopolskie,2020-08-22T10:37:00,5096,218,,52.28,17.3523
32,zachodniopomorskie,2020-08-22T10:37:00,1038,27,,53.4658,15.1823
XX,nieokreślono,2020-08-22T10:00:00,,,41660,52.0693,19.4803
