TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-12-06T10:30:00,74892,1410,,51.134,16.8842
04,kujawsko-pomorskie,2020-12-06T10:30:00,62714,800,,53.1648,18.4834
06,lubelskie,2020-12-06T10:30:00,54043,1265,,51.2494,23.1011
08,lubuskie,2020-12-06T10:30:00,23988,423,1,52.2275,15.2559
10,łódzkie,2020-12-06T10:30:00,69848,1242,,51.4635,19.1727
12,małopolskie,2020-12-06T10:30:00,99404,2194,,49.7225,20.2503
14,mazowieckie,2020-12-06T10:30:00,127024,2469,,51.8927,21.0022
16,opolskie,2020-12-06T10:30:00,31291,780,,50.8004,17.938
18,podkarpackie,2020-12-06T10:30:00,53468,1432,,50.0575,22.0896
20,podlaskie,2020-12-06T10:30:00,28073,594,,53.0697,22.9675
22,pomorskie,2020-12-06T10:30:00,61981,1092,,54.2944,18.1531
24,śląskie,2020-12-06T10:30:00,135318,2544,,50.5717,19.322
26,świętokrzyskie,2020-12-06T10:30:00,31407,688,,50.6261,20.9406
28,warmińsko-mazurskie,2020-12-06T10:30:00,36963,701,,53.8671,20.7028
30,wielkopolskie,2020-12-06T10:30:00,106282,1844,,52.28,17.3523
32,zachodniopomorskie,2020-12-06T10:30:00,42797,611,,53.4658,15.1823
,nieokreślono,2020-12-06T10:00:00,23956,,706719,52.0693,19.4803
