TERYT,Województwo,2022-01-01
02,dolnośląskie,6106
04,kujawsko-pomorskie,6073
06,lubelskie,6826
08,lubuskie,2512
10,łódzkie,6657
12,małopolskie,7821
14,mazowieckie,12418
16,opolskie,2804
18,podkarpackie,5980
20,podlaskie,3252
22,pomorskie,5404
24,śląskie,11716
26,świętokrzyskie,3316
28,warmińsko-mazurskie,3859
30,wielkopolskie,8943
32,zachodniopomorskie,3785
XX,nieokreślono,87
PL,Polska,97559
