TERYT,Województwo,2022-01-01
02,dolnośląskie,1623
04,kujawsko-pomorskie,969
06,lubelskie,486
08,lubuskie,545
10,łódzkie,1094
12,małopolskie,1649
14,mazowieckie,2488
16,opolskie,662
18,podkarpackie,567
20,podlaskie,200
22,pomorskie,1149
24,śląskie,2151
26,świętokrzyskie,395
28,warmińsko-mazurskie,604
30,wielkopolskie,1823
32,zachodniopomorskie,1007
XX,nieokreślono,-1839
PL,Polska,15573
