TERYT,Województwo,2022-01-01
02,dolnośląskie,35
04,kujawsko-pomorskie,27
06,lubelskie,23
08,lubuskie,18
10,łódzkie,41
12,małopolskie,54
14,mazowieckie,34
16,opolskie,12
18,podkarpackie,51
20,podlaskie,22
22,pomorskie,36
24,śląskie,40
26,świętokrzyskie,20
28,warmińsko-mazurskie,27
30,wielkopolskie,46
32,zachodniopomorskie,19
XX,nieokreślono,
PL,Polska,505
