TERYT,Województwo,2022-01-01
02,dolnośląskie,306704
04,kujawsko-pomorskie,241736
06,lubelskie,212333
08,lubuskie,103916
10,łódzkie,253464
12,małopolskie,320209
14,mazowieckie,610740
16,opolskie,104117
18,podkarpackie,176310
20,podlaskie,110519
22,pomorskie,265001
24,śląskie,499484
26,świętokrzyskie,99160
28,warmińsko-mazurskie,165891
30,wielkopolskie,389465
32,zachodniopomorskie,195097
XX,nieokreślono,66102
PL,Polska,4120248
