TERYT,Województwo,2022-01-01
02,dolnośląskie,210357
04,kujawsko-pomorskie,146501
06,lubelskie,142749
08,lubuskie,70447
10,łódzkie,161420
12,małopolskie,202055
14,mazowieckie,441941
16,opolskie,63924
18,podkarpackie,111884
20,podlaskie,74681
22,pomorskie,172158
24,śląskie,330439
26,świętokrzyskie,61734
28,warmińsko-mazurskie,105290
30,wielkopolskie,244183
32,zachodniopomorskie,123732
XX,nieokreślono,982197
PL,Polska,3645692
