TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-06-04T10:30:00,212728,4837,121847,51.134,16.8842
04,kujawsko-pomorskie,2021-06-04T10:30:00,180368,4734,88513,53.1648,18.4834
06,lubelskie,2021-06-04T10:30:00,126461,4396,58097,51.2494,23.1011
08,lubuskie,2021-06-04T10:30:00,73932,2028,42016,52.2275,15.2559
10,łódzkie,2021-06-04T10:30:00,179649,5054,91423,51.4635,19.1727
12,małopolskie,2021-06-04T10:30:00,222235,5765,111649,49.7225,20.2503
14,mazowieckie,2021-06-04T10:30:00,395872,9321,234031,51.8927,21.0022
16,opolskie,2021-06-04T10:30:00,69782,2030,31868,50.8004,17.938
18,podkarpackie,2021-06-04T10:30:00,126320,4416,64526,50.0575,22.0896
20,podlaskie,2021-06-04T10:30:00,69774,2123,33621,53.0697,22.9675
22,pomorskie,2021-06-04T10:30:00,192099,4425,104141,54.2944,18.1531
24,śląskie,2021-06-04T10:30:00,361883,9283,202264,50.5717,19.322
26,świętokrzyskie,2021-06-04T10:30:00,72870,2502,36971,50.6261,20.9406
28,warmińsko-mazurskie,2021-06-04T10:30:00,121728,2974,63409,53.8671,20.7028
30,wielkopolskie,2021-06-04T10:30:00,285000,7258,146541,52.28,17.3523
32,zachodniopomorskie,2021-06-04T10:30:00,129616,2886,61733,53.4658,15.1823
,nieokreślono,2021-06-04T10:30:00,54094,69,1150663,52.0693,19.4803
