TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-02-13T10:30:00,103987,2576,8387,51.134,16.8842
04,kujawsko-pomorskie,2021-02-13T10:30:00,110781,2604,13969,53.1648,18.4834
06,lubelskie,2021-02-13T10:30:00,78945,2676,7567,51.2494,23.1011
08,lubuskie,2021-02-13T10:30:00,39458,1056,4586,52.2275,15.2559
10,łódzkie,2021-02-13T10:30:00,101203,2884,8531,51.4635,19.1727
12,małopolskie,2021-02-13T10:30:00,120866,3207,6355,49.7225,20.2503
14,mazowieckie,2021-02-13T10:30:00,196998,5080,21752,51.8927,21.0022
16,opolskie,2021-02-13T10:30:00,42087,1283,3163,50.8004,17.938
18,podkarpackie,2021-02-13T10:30:00,69096,2290,4513,50.0575,22.0896
20,podlaskie,2021-02-13T10:30:00,43596,1200,5200,53.0697,22.9675
22,pomorskie,2021-02-13T10:30:00,109067,2504,14610,54.2944,18.1531
24,śląskie,2021-02-13T10:30:00,178340,4362,11761,50.5717,19.322
26,świętokrzyskie,2021-02-13T10:30:00,39993,1211,2597,50.6261,20.9406
28,warmińsko-mazurskie,2021-02-13T10:30:00,72356,1811,9621,53.8671,53.8671
30,wielkopolskie,2021-02-13T10:30:00,159454,4226,14868,52.28,17.3523
32,zachodniopomorskie,2021-02-13T10:30:00,82447,1720,11030,53.4658,15.1823
,nieokreślono,2021-02-13T10:30:00,34947,19,1187957,52.0693,19.4803
