TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-02-14T10:30:00,104252,2577,8686,51.134,16.8842
04,kujawsko-pomorskie,2021-02-14T10:30:00,111184,2607,14466,53.1648,18.4834
06,lubelskie,2021-02-14T10:30:00,79169,2679,7829,51.2494,23.1011
08,lubuskie,2021-02-14T10:30:00,39673,1058,4765,52.2275,15.2559
10,łódzkie,2021-02-14T10:30:00,101434,2887,8874,51.4635,19.1727
12,małopolskie,2021-02-14T10:30:00,121078,3209,6615,49.7225,20.2503
14,mazowieckie,2021-02-14T10:30:00,197999,5110,22690,51.8927,21.0022
16,opolskie,2021-02-14T10:30:00,42189,1283,3252,50.8004,17.938
18,podkarpackie,2021-02-14T10:30:00,69304,2304,4700,50.0575,22.0896
20,podlaskie,2021-02-14T10:30:00,43742,1210,5404,53.0697,22.9675
22,pomorskie,2021-02-14T10:30:00,109718,2514,15142,54.2944,18.1531
24,śląskie,2021-02-14T10:30:00,178842,4364,12265,50.5717,19.322
26,świętokrzyskie,2021-02-14T10:30:00,40091,1212,2700,50.6261,20.9406
28,warmińsko-mazurskie,2021-02-14T10:30:00,72577,1812,9990,53.8671,53.8671
30,wielkopolskie,2021-02-14T10:30:00,159965,4237,15413,52.28,17.3523
32,zachodniopomorskie,2021-02-14T10:30:00,82661,1725,11350,53.4658,15.1823
,nieokreślono,2021-02-14T10:30:00,35077,19,1187890,52.0693,19.4803
