TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-07-08T10:32:00,213233,4922,122964,51.134,16.8842
04,kujawsko-pomorskie,2021-07-08T10:32:00,180643,4783,89040,53.1648,18.4834
06,lubelskie,2021-07-08T10:32:00,126928,4469,58933,51.2494,23.1011
08,lubuskie,2021-07-08T10:32:00,74034,2049,42233,52.2275,15.2559
10,łódzkie,2021-07-08T10:32:00,180147,5124,92493,51.4635,19.1727
12,małopolskie,2021-07-08T10:32:00,222683,5861,112552,49.7225,20.2503
14,mazowieckie,2021-07-08T10:32:00,396686,9443,235633,51.8927,21.0022
16,opolskie,2021-07-08T10:32:00,69963,2051,32312,50.8004,17.938
18,podkarpackie,2021-07-08T10:32:00,126557,4449,64838,50.0575,22.0896
20,podlaskie,2021-07-08T10:32:00,69938,2143,33952,53.0697,22.9675
22,pomorskie,2021-07-08T10:32:00,192355,4479,104696,54.2944,18.1531
24,śląskie,2021-07-08T10:32:00,362506,9418,203710,50.5717,19.322
26,świętokrzyskie,2021-07-08T10:32:00,73053,2567,37329,50.6261,20.9406
28,warmińsko-mazurskie,2021-07-08T10:32:00,121925,3009,63741,53.8671,20.7028
30,wielkopolskie,2021-07-08T10:32:00,285674,7366,147819,52.28,17.3523
32,zachodniopomorskie,2021-07-08T10:32:00,129915,2929,62368,53.4658,15.1823
,nieokreślono,2021-07-08T10:32:00,54356,73,1147759,52.0693,19.4803
