TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-05-31T10:30:00,212526,4815,121456,51.134,16.8842
04,kujawsko-pomorskie,2021-05-31T10:30:00,180280,4720,88313,53.1648,18.4834
06,lubelskie,2021-05-31T10:30:00,126315,4370,57849,51.2494,23.1011
08,lubuskie,2021-05-31T10:30:00,73903,2016,41931,52.2275,15.2559
10,łódzkie,2021-05-31T10:30:00,179463,5014,91056,51.4635,19.1727
12,małopolskie,2021-05-31T10:30:00,222069,5731,111320,49.7225,20.2503
14,mazowieckie,2021-05-31T10:30:00,395614,9301,233450,51.8927,21.0022
16,opolskie,2021-05-31T10:30:00,69690,2021,31710,50.8004,17.938
18,podkarpackie,2021-05-31T10:30:00,126273,4397,64431,50.0575,22.0896
20,podlaskie,2021-05-31T10:30:00,69700,2115,33500,53.0697,22.9675
22,pomorskie,2021-05-31T10:30:00,191994,4413,103912,54.2944,18.1531
24,śląskie,2021-05-31T10:30:00,361638,9223,201700,50.5717,19.322
26,świętokrzyskie,2021-05-31T10:30:00,72807,2479,36861,50.6261,20.9406
28,warmińsko-mazurskie,2021-05-31T10:30:00,121673,2964,63296,53.8671,20.7028
30,wielkopolskie,2021-05-31T10:30:00,284762,7233,146070,52.28,17.3523
32,zachodniopomorskie,2021-05-31T10:30:00,129495,2864,61479,53.4658,15.1823
,nieokreślono,2021-05-31T10:30:00,54081,69,1151355,52.0693,19.4803
