TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-11-22 10:30:00,241112,5140,139975,51.134,16.8842
04,kujawsko-pomorskie,2021-11-22 10:30:00,201127,5086,101719,53.1648,18.4834
06,lubelskie,2021-11-22 10:30:00,184700,5605,105279,51.2494,23.1011
08,lubuskie,2021-11-22 10:30:00,82397,2106,47386,52.2275,15.2559
10,łódzkie,2021-11-22 10:30:00,208219,5505,111361,51.4635,19.1727
12,małopolskie,2021-11-22 10:30:00,253143,6257,131490,49.7225,20.2503
14,mazowieckie,2021-11-22 10:30:00,494639,10306,300792,51.8927,21.0022
16,opolskie,2021-11-22 10:30:00,79269,2189,37449,50.8004,17.938
18,podkarpackie,2021-11-22 10:30:00,148444,4826,79798,50.0575,22.0896
20,podlaskie,2021-11-22 10:30:00,97284,2560,55929,53.0697,22.9675
22,pomorskie,2021-11-22 10:30:00,216818,4648,120657,54.2944,18.1531
24,śląskie,2021-11-22 10:30:00,399988,9834,224272,50.5717,19.322
26,świętokrzyskie,2021-11-22 10:30:00,81695,2745,42875,50.6261,20.9406
28,warmińsko-mazurskie,2021-11-22 10:30:00,138756,3206,74967,53.8671,20.7028
30,wielkopolskie,2021-11-22 10:30:00,315104,7616,164775,52.28,17.3523
32,zachodniopomorskie,2021-11-22 10:30:00,155091,3122,79225,53.4658,15.1823
,nieokreślono,2021-11-22 10:30:00,59977,79,1083851,52.0693,19.4803
