TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-08-27 10:30:00,213691,4940,123426,51.134,16.8842
04,kujawsko-pomorskie,2021-08-27 10:30:00,180938,4795,89387,53.1648,18.4834
06,lubelskie,2021-08-27 10:30:00,127376,4486,59392,51.2494,23.1011
08,lubuskie,2021-08-27 10:30:00,74155,2056,42374,52.2275,15.2559
10,łódzkie,2021-08-27 10:30:00,180531,5135,93113,51.4635,19.1727
12,małopolskie,2021-08-27 10:30:00,223549,5869,113413,49.7225,20.2503
14,mazowieckie,2021-08-27 10:30:00,397708,9463,236645,51.8927,21.0022
16,opolskie,2021-08-27 10:30:00,70131,2055,32456,50.8004,17.938
18,podkarpackie,2021-08-27 10:30:00,127004,4465,65160,50.0575,22.0896
20,podlaskie,2021-08-27 10:30:00,70268,2150,34271,53.0697,22.9675
22,pomorskie,2021-08-27 10:30:00,192807,4492,105126,54.2944,18.1531
24,śląskie,2021-08-27 10:30:00,363190,9436,204411,50.5717,19.322
26,świętokrzyskie,2021-08-27 10:30:00,73230,2578,37549,50.6261,20.9406
28,warmińsko-mazurskie,2021-08-27 10:30:00,122156,3018,63990,53.8671,20.7028
30,wielkopolskie,2021-08-27 10:30:00,286168,7386,148330,52.28,17.3523
32,zachodniopomorskie,2021-08-27 10:30:00,130215,2938,62672,53.4658,15.1823
,nieokreślono,2021-08-27 10:30:00,54622,73,1144920,52.0693,19.4803
