TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-10-12 10:30:00,215671,4961,124976,51.134,16.8842
04,kujawsko-pomorskie,2021-10-12 10:30:00,182175,4834,90423,53.1648,18.4834
06,lubelskie,2021-10-12 10:30:00,133982,4592,63036,51.2494,23.1011
08,lubuskie,2021-10-12 10:30:00,74717,2062,42797,52.2275,15.2559
10,łódzkie,2021-10-12 10:30:00,182689,5178,94707,51.4635,19.1727
12,małopolskie,2021-10-12 10:30:00,226237,5919,115645,49.7225,20.2503
14,mazowieckie,2021-10-12 10:30:00,403990,9529,240837,51.8927,21.0022
16,opolskie,2021-10-12 10:30:00,70673,2072,32914,50.8004,17.938
18,podkarpackie,2021-10-12 10:30:00,129186,4510,66789,50.0575,22.0896
20,podlaskie,2021-10-12 10:30:00,73123,2180,35756,53.0697,22.9675
22,pomorskie,2021-10-12 10:30:00,194709,4519,106494,54.2944,18.1531
24,śląskie,2021-10-12 10:30:00,365304,9474,206111,50.5717,19.322
26,świętokrzyskie,2021-10-12 10:30:00,73764,2601,38015,50.6261,20.9406
28,warmińsko-mazurskie,2021-10-12 10:30:00,123403,3035,64834,53.8671,20.7028
30,wielkopolskie,2021-10-12 10:30:00,287959,7413,149655,52.28,17.3523
32,zachodniopomorskie,2021-10-12 10:30:00,132643,2962,64369,53.4658,15.1823
,nieokreślono,2021-10-12 10:30:00,55200,77,1132822,52.0693,19.4803
