TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-03-04T10:31:00,114324,2800,14938,51.134,16.8842
04,kujawsko-pomorskie,2021-03-04T10:31:00,121769,2873,22934,53.1648,18.4834
06,lubelskie,2021-03-04T10:31:00,84997,2938,12614,51.2494,23.1011
08,lubuskie,2021-03-04T10:31:00,45002,1176,8703,52.2275,15.2559
10,łódzkie,2021-03-04T10:31:00,109520,3097,14462,51.4635,19.1727
12,małopolskie,2021-03-04T10:31:00,130832,3412,12197,49.7225,20.2503
14,mazowieckie,2021-03-04T10:31:00,226242,5688,41913,51.8927,21.0022
16,opolskie,2021-03-04T10:31:00,44428,1359,4958,50.8004,17.938
18,podkarpackie,2021-03-04T10:31:00,78283,2517,10265,50.0575,22.0896
20,podlaskie,2021-03-04T10:31:00,48756,1394,9355,53.0697,22.9675
22,pomorskie,2021-03-04T10:31:00,124556,2834,25998,54.2944,18.1531
24,śląskie,2021-03-04T10:31:00,194720,4765,21889,50.5717,19.322
26,świętokrzyskie,2021-03-04T10:31:00,43379,1308,4768,50.6261,20.9406
28,warmińsko-mazurskie,2021-03-04T10:31:00,84977,1988,18694,53.8671,20.7028
30,wielkopolskie,2021-03-04T10:31:00,172187,4536,24276,52.28,17.3523
32,zachodniopomorskie,2021-03-04T10:31:00,88743,1901,16460,53.4658,15.1823
,nieokreślono,2021-03-04T10:31:00,37944,63,1184195,52.0693,19.4803
