TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-05-28T10:31:00,212369,4803,120912,51.134,16.8842
04,kujawsko-pomorskie,2021-05-28T10:31:00,180222,4714,88069,53.1648,18.4834
06,lubelskie,2021-05-28T10:31:00,126225,4364,57541,51.2494,23.1011
08,lubuskie,2021-05-28T10:31:00,73867,2009,41819,52.2275,15.2559
10,łódzkie,2021-05-28T10:31:00,179340,5005,90620,51.4635,19.1727
12,małopolskie,2021-05-28T10:31:00,221956,5720,110856,49.7225,20.2503
14,mazowieckie,2021-05-28T10:31:00,395376,9282,232748,51.8927,21.0022
16,opolskie,2021-05-28T10:31:00,69606,2016,31525,50.8004,17.938
18,podkarpackie,2021-05-28T10:31:00,126232,4390,64293,50.0575,22.0896
20,podlaskie,2021-05-28T10:31:00,69651,2111,33365,53.0697,22.9675
22,pomorskie,2021-05-28T10:31:00,191910,4406,103587,54.2944,18.1531
24,śląskie,2021-05-28T10:31:00,361432,9172,201052,50.5717,19.322
26,świętokrzyskie,2021-05-28T10:31:00,72753,2473,36713,50.6261,20.9406
28,warmińsko-mazurskie,2021-05-28T10:31:00,121626,2957,63173,53.8671,20.7028
30,wielkopolskie,2021-05-28T10:31:00,284557,7213,145433,52.28,17.3523
32,zachodniopomorskie,2021-05-28T10:31:00,129416,2853,61175,53.4658,15.1823
,nieokreślono,2021-05-28T10:31:00,54057,69,1151830,52.0693,19.4803
