TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-03-14T10:30:00,125595,2968,22421,51.134,16.8842
04,kujawsko-pomorskie,2021-03-14T10:30:00,130629,3041,30180,53.1648,18.4834
06,lubelskie,2021-03-14T10:30:00,89856,3086,16481,51.2494,23.1011
08,lubuskie,2021-03-14T10:30:00,50219,1280,12757,52.2275,15.2559
10,łódzkie,2021-03-14T10:30:00,117315,3228,20174,51.4635,19.1727
12,małopolskie,2021-03-14T10:30:00,142493,3532,19597,49.7225,20.2503
14,mazowieckie,2021-03-14T10:30:00,254270,6112,63081,51.8927,21.0022
16,opolskie,2021-03-14T10:30:00,46876,1397,6601,50.8004,17.938
18,podkarpackie,2021-03-14T10:30:00,86929,2694,17104,50.0575,22.0896
20,podlaskie,2021-03-14T10:30:00,52394,1497,12742,53.0697,22.9675
22,pomorskie,2021-03-14T10:30:00,136852,2992,36545,54.2944,18.1531
24,śląskie,2021-03-14T10:30:00,213670,5055,34149,50.5717,19.322
26,świętokrzyskie,2021-03-14T10:30:00,46689,1382,7271,50.6261,20.9406
28,warmińsko-mazurskie,2021-03-14T10:30:00,94046,2128,27177,53.8671,20.7028
30,wielkopolskie,2021-03-14T10:30:00,184591,4736,33070,52.28,17.3523
32,zachodniopomorskie,2021-03-14T10:30:00,93397,1983,20455,53.4658,15.1823
,nieokreślono,2021-03-14T10:30:00,40811,67,1180422,52.0693,19.4803
