TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-07-16T10:30:00,213289,4932,123016,51.134,16.8842
04,kujawsko-pomorskie,2021-07-16T10:30:00,180678,4787,89090,53.1648,18.4834
06,lubelskie,2021-07-16T10:30:00,126965,4473,58985,51.2494,23.1011
08,lubuskie,2021-07-16T10:30:00,74041,2051,42244,52.2275,15.2559
10,łódzkie,2021-07-16T10:30:00,180191,5127,92581,51.4635,19.1727
12,małopolskie,2021-07-16T10:30:00,222721,5863,112607,49.7225,20.2503
14,mazowieckie,2021-07-16T10:30:00,396773,9453,235741,51.8927,21.0022
16,opolskie,2021-07-16T10:30:00,69978,2053,32332,50.8004,17.938
18,podkarpackie,2021-07-16T10:30:00,126583,4457,64863,50.0575,22.0896
20,podlaskie,2021-07-16T10:30:00,69973,2145,33985,53.0697,22.9675
22,pomorskie,2021-07-16T10:30:00,192391,4484,104743,54.2944,18.1531
24,śląskie,2021-07-16T10:30:00,362560,9421,203786,50.5717,19.322
26,świętokrzyskie,2021-07-16T10:30:00,73065,2573,37361,50.6261,20.9406
28,warmińsko-mazurskie,2021-07-16T10:30:00,121943,3011,63774,53.8671,20.7028
30,wielkopolskie,2021-07-16T10:30:00,285760,7371,147906,52.28,17.3523
32,zachodniopomorskie,2021-07-16T10:30:00,129946,2931,62413,53.4658,15.1823
,nieokreślono,2021-07-16T10:30:00,54384,73,1147316,52.0693,19.4803
