TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-05-11T10:30:00,209264,4528,115183,51.134,16.8842
04,kujawsko-pomorskie,2021-05-11T10:30:00,178586,4582,85013,53.1648,18.4834
06,lubelskie,2021-05-11T10:30:00,124358,4220,54292,51.2494,23.1011
08,lubuskie,2021-05-11T10:30:00,73200,1925,40526,52.2275,15.2559
10,łódzkie,2021-05-11T10:30:00,176741,4786,85692,51.4635,19.1727
12,małopolskie,2021-05-11T10:30:00,219459,5478,106390,49.7225,20.2503
14,mazowieckie,2021-05-11T10:30:00,391315,8915,225293,51.8927,21.0022
16,opolskie,2021-05-11T10:30:00,68470,1945,29610,50.8004,17.938
18,podkarpackie,2021-05-11T10:30:00,125492,4262,62891,50.0575,22.0896
20,podlaskie,2021-05-11T10:30:00,68787,2048,32107,53.0697,22.9675
22,pomorskie,2021-05-11T10:30:00,189871,4255,100136,54.2944,18.1531
24,śląskie,2021-05-11T10:30:00,357235,8527,192621,50.5717,19.322
26,świętokrzyskie,2021-05-11T10:30:00,71895,2310,35184,50.6261,20.9406
28,warmińsko-mazurskie,2021-05-11T10:30:00,120759,2849,61641,53.8671,20.7028
30,wielkopolskie,2021-05-11T10:30:00,280957,6928,139044,52.28,17.3523
32,zachodniopomorskie,2021-05-11T10:30:00,127662,2711,58084,53.4658,15.1823
,nieokreślono,2021-05-11T10:30:00,54129,67,1156538,52.0693,19.4803
