TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-08-10T10:30:00,213480,4937,123225,51.134,16.8842
04,kujawsko-pomorskie,2021-08-10T10:30:00,180805,4793,89247,53.1648,18.4834
06,lubelskie,2021-08-10T10:30:00,127202,4483,59196,51.2494,23.1011
08,lubuskie,2021-08-10T10:30:00,74096,2055,42296,52.2275,15.2559
10,łódzkie,2021-08-10T10:30:00,180338,5133,92957,51.4635,19.1727
12,małopolskie,2021-08-10T10:30:00,223179,5865,112987,49.7225,20.2503
14,mazowieckie,2021-08-10T10:30:00,397205,9457,236182,51.8927,21.0022
16,opolskie,2021-08-10T10:30:00,70032,2054,32382,50.8004,17.938
18,podkarpackie,2021-08-10T10:30:00,126754,4463,64985,50.0575,22.0896
20,podlaskie,2021-08-10T10:30:00,70094,2146,34100,53.0697,22.9675
22,pomorskie,2021-08-10T10:30:00,192566,4490,104922,54.2944,18.1531
24,śląskie,2021-08-10T10:30:00,362871,9429,204116,50.5717,19.322
26,świętokrzyskie,2021-08-10T10:30:00,73144,2576,37436,50.6261,20.9406
28,warmińsko-mazurskie,2021-08-10T10:30:00,122042,3014,63874,53.8671,20.7028
30,wielkopolskie,2021-08-10T10:30:00,285949,7383,148136,52.28,17.3523
32,zachodniopomorskie,2021-08-10T10:30:00,130065,2934,62542,53.4658,15.1823
,nieokreślono,2021-08-10T10:30:00,54539,73,1146094,52.0693,19.4803
