TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-04-13T10:31:00,186072,3715,78775,51.134,16.8842
04,kujawsko-pomorskie,2021-04-13T10:31:00,166721,3927,66283,53.1648,18.4834
06,lubelskie,2021-04-13T10:31:00,113465,3751,38193,51.2494,23.1011
08,lubuskie,2021-04-13T10:31:00,67777,1614,31688,52.2275,15.2559
10,łódzkie,2021-04-13T10:31:00,159299,3969,58464,51.4635,19.1727
12,małopolskie,2021-04-13T10:31:00,199776,4552,74206,49.7225,20.2503
14,mazowieckie,2021-04-13T10:31:00,360825,7639,174417,51.8927,21.0022
16,opolskie,2021-04-13T10:31:00,61588,1698,19534,50.8004,17.938
18,podkarpackie,2021-04-13T10:31:00,117999,3524,49396,50.0575,22.0896
20,podlaskie,2021-04-13T10:31:00,64398,1801,25256,53.0697,22.9675
22,pomorskie,2021-04-13T10:31:00,177987,3687,81246,54.2944,18.1531
24,śląskie,2021-04-13T10:31:00,319854,6653,132636,50.5717,19.322
26,świętokrzyskie,2021-04-13T10:31:00,65150,1844,24515,50.6261,20.9406
28,warmińsko-mazurskie,2021-04-13T10:31:00,114913,2605,52389,53.8671,20.7028
30,wielkopolskie,2021-04-13T10:31:00,255691,5770,99381,52.28,17.3523
32,zachodniopomorskie,2021-04-13T10:31:00,116827,2295,42555,53.4658,15.1823
,nieokreślono,2021-04-13T10:31:00,51508,82,1170721,52.0693,19.4803
