TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-01-21T10:34:00,96677,2257,558,51.134,16.8842
04,kujawsko-pomorskie,2021-01-21T10:34:00,99725,2065,996,53.1648,18.4834
06,lubelskie,2021-01-21T10:34:00,72826,2227,534,51.2494,23.1011
08,lubuskie,2021-01-21T10:34:00,35520,877,345,52.2275,15.2559
10,łódzkie,2021-01-21T10:34:00,94705,2465,681,51.4635,19.1727
12,małopolskie,2021-01-21T10:34:00,115062,2919,459,49.7225,20.2503
14,mazowieckie,2021-01-21T10:34:00,177804,4064,1539,51.8927,21.0022
16,opolskie,2021-01-21T10:34:00,39858,1152,257,50.8004,17.938
18,podkarpackie,2021-01-21T10:34:00,64465,2075,252,50.0575,22.0896
20,podlaskie,2021-01-21T10:34:00,38799,989,238,53.0697,22.9675
22,pomorskie,2021-01-21T10:34:00,97206,1982,1178,54.2944,18.1531
24,śląskie,2021-01-21T10:34:00,168039,3894,806,50.5717,19.322
26,świętokrzyskie,2021-01-21T10:34:00,37656,1047,202,50.6261,20.9406
28,warmińsko-mazurskie,2021-01-21T10:34:00,63879,1517,801,53.8671,20.7028
30,wielkopolskie,2021-01-21T10:34:00,148292,3623,1043,52.28,17.3523
32,zachodniopomorskie,2021-01-21T10:34:00,75263,1395,1011,53.4658,15.1823
,nieokreślono,2021-01-21T10:30:00,31979,13,1193310,52.0693,19.4803
