TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-09-23 10:30:00,214521,4947,124017,51.134,16.8842
04,kujawsko-pomorskie,2021-09-23 10:30:00,181395,4806,89751,53.1648,18.4834
06,lubelskie,2021-09-23 10:30:00,129080,4511,60185,51.2494,23.1011
08,lubuskie,2021-09-23 10:30:00,74398,2061,42533,52.2275,15.2559
10,łódzkie,2021-09-23 10:30:00,181440,5159,93723,51.4635,19.1727
12,małopolskie,2021-09-23 10:30:00,224748,5890,114368,49.7225,20.2503
14,mazowieckie,2021-09-23 10:30:00,399607,9482,238006,51.8927,21.0022
16,opolskie,2021-09-23 10:30:00,70390,2057,32670,50.8004,17.938
18,podkarpackie,2021-09-23 10:30:00,127881,4477,65742,50.0575,22.0896
20,podlaskie,2021-09-23 10:30:00,70941,2157,34698,53.0697,22.9675
22,pomorskie,2021-09-23 10:30:00,193503,4503,105693,54.2944,18.1531
24,śląskie,2021-09-23 10:30:00,364061,9446,205133,50.5717,19.322
26,świętokrzyskie,2021-09-23 10:30:00,73444,2593,37784,50.6261,20.9406
28,warmińsko-mazurskie,2021-09-23 10:30:00,122578,3023,64239,53.8671,20.7028
30,wielkopolskie,2021-09-23 10:30:00,286914,7398,148850,52.28,17.3523
32,zachodniopomorskie,2021-09-23 10:30:00,131090,2951,63249,53.4658,15.1823
,nieokreślono,2021-09-23 10:30:00,54871,76,1139395,52.0693,19.4803
