TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-08-22 10:32:00,213627,4940,123356,51.134,16.8842
04,kujawsko-pomorskie,2021-08-22 10:32:00,180899,4793,89353,53.1648,18.4834
06,lubelskie,2021-08-22 10:32:00,127334,4485,59350,51.2494,23.1011
08,lubuskie,2021-08-22 10:32:00,74140,2055,42349,52.2275,15.2559
10,łódzkie,2021-08-22 10:32:00,180468,5133,93054,51.4635,19.1727
12,małopolskie,2021-08-22 10:32:00,223434,5867,113305,49.7225,20.2503
14,mazowieckie,2021-08-22 10:32:00,397540,9462,236486,51.8927,21.0022
16,opolskie,2021-08-22 10:32:00,70106,2055,32431,50.8004,17.938
18,podkarpackie,2021-08-22 10:32:00,126914,4465,65090,50.0575,22.0896
20,podlaskie,2021-08-22 10:32:00,70223,2149,34219,53.0697,22.9675
22,pomorskie,2021-08-22 10:32:00,192714,4492,105055,54.2944,18.1531
24,śląskie,2021-08-22 10:32:00,363077,9434,204310,50.5717,19.322
26,świętokrzyskie,2021-08-22 10:32:00,73200,2578,37504,50.6261,20.9406
28,warmińsko-mazurskie,2021-08-22 10:32:00,122122,3014,63948,53.8671,20.7028
30,wielkopolskie,2021-08-22 10:32:00,286115,7385,148255,52.28,17.3523
32,zachodniopomorskie,2021-08-22 10:32:00,130164,2936,62634,53.4658,15.1823
,nieokreślono,2021-08-22 10:32:00,54621,73,1145444,52.0693,19.4803
