TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-03-26T10:33:00,147982,3199,35892,51.134,16.8842
04,kujawsko-pomorskie,2021-03-26T10:33:00,146451,3353,41116,53.1648,18.4834
06,lubelskie,2021-03-26T10:33:00,98470,3326,22669,51.2494,23.1011
08,lubuskie,2021-03-26T10:33:00,57976,1406,18849,52.2275,15.2559
10,łódzkie,2021-03-26T10:33:00,133432,3457,30464,51.4635,19.1727
12,małopolskie,2021-03-26T10:33:00,165016,3830,33923,49.7225,20.2503
14,mazowieckie,2021-03-26T10:33:00,300395,6645,96495,51.8927,21.0022
16,opolskie,2021-03-26T10:33:00,52215,1480,9554,50.8004,17.938
18,podkarpackie,2021-03-26T10:33:00,101047,3002,27368,50.0575,22.0896
20,podlaskie,2021-03-26T10:33:00,57660,1622,17115,53.0697,22.9675
22,pomorskie,2021-03-26T10:33:00,155740,3260,51880,54.2944,18.1531
24,śląskie,2021-03-26T10:33:00,254440,5598,58050,50.5717,19.322
26,świętokrzyskie,2021-03-26T10:33:00,53862,1565,11635,50.6261,20.9406
28,warmińsko-mazurskie,2021-03-26T10:33:00,104510,2331,37631,53.8671,20.7028
30,wielkopolskie,2021-03-26T10:33:00,211967,5049,48440,52.28,17.3523
32,zachodniopomorskie,2021-03-26T10:33:00,102530,2104,26290,53.4658,15.1823
,nieokreślono,2021-03-26T10:33:00,46273,78,1179852,52.0693,19.4803
