TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-07-24T10:31:00,213351,4935,123089,51.134,16.8842
04,kujawsko-pomorskie,2021-07-24T10:31:00,180704,4787,89135,53.1648,18.4834
06,lubelskie,2021-07-24T10:31:00,127033,4479,59031,51.2494,23.1011
08,lubuskie,2021-07-24T10:31:00,74053,2052,42255,52.2275,15.2559
10,łódzkie,2021-07-24T10:31:00,180242,5130,92827,51.4635,19.1727
12,małopolskie,2021-07-24T10:31:00,222828,5864,112667,49.7225,20.2503
14,mazowieckie,2021-07-24T10:31:00,396899,9455,235864,51.8927,21.0022
16,opolskie,2021-07-24T10:31:00,69985,2053,32346,50.8004,17.938
18,podkarpackie,2021-07-24T10:31:00,126612,4460,64886,50.0575,22.0896
20,podlaskie,2021-07-24T10:31:00,70000,2145,34014,53.0697,22.9675
22,pomorskie,2021-07-24T10:31:00,192441,4487,104789,54.2944,18.1531
24,śląskie,2021-07-24T10:31:00,362638,9425,203868,50.5717,19.322
26,świętokrzyskie,2021-07-24T10:31:00,73090,2575,37387,50.6261,20.9406
28,warmińsko-mazurskie,2021-07-24T10:31:00,121964,3011,63796,53.8671,20.7028
30,wielkopolskie,2021-07-24T10:31:00,285836,7376,147991,52.28,17.3523
32,zachodniopomorskie,2021-07-24T10:31:00,129974,2934,62453,53.4658,15.1823
,nieokreślono,2021-07-24T10:31:00,54416,73,1146823,52.0693,19.4803
