TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-09-10 10:30:00,214004,4943,123633,51.134,16.8842
04,kujawsko-pomorskie,2021-09-10 10:30:00,181113,4800,89549,53.1648,18.4834
06,lubelskie,2021-09-10 10:30:00,127831,4493,59564,51.2494,23.1011
08,lubuskie,2021-09-10 10:30:00,74246,2060,42427,52.2275,15.2559
10,łódzkie,2021-09-10 10:30:00,180863,5145,93324,51.4635,19.1727
12,małopolskie,2021-09-10 10:30:00,224065,5873,113835,49.7225,20.2503
14,mazowieckie,2021-09-10 10:30:00,398386,9473,237227,51.8927,21.0022
16,opolskie,2021-09-10 10:30:00,70241,2056,32547,50.8004,17.938
18,podkarpackie,2021-09-10 10:30:00,127340,4470,65395,50.0575,22.0896
20,podlaskie,2021-09-10 10:30:00,70525,2152,34443,53.0697,22.9675
22,pomorskie,2021-09-10 10:30:00,193115,4498,105357,54.2944,18.1531
24,śląskie,2021-09-10 10:30:00,363552,9442,204737,50.5717,19.322
26,świętokrzyskie,2021-09-10 10:30:00,73327,2585,37655,50.6261,20.9406
28,warmińsko-mazurskie,2021-09-10 10:30:00,122299,3020,64084,53.8671,20.7028
30,wielkopolskie,2021-09-10 10:30:00,286448,7389,148521,52.28,17.3523
32,zachodniopomorskie,2021-09-10 10:30:00,130558,2943,62875,53.4658,15.1823
,nieokreślono,2021-09-10 10:30:00,54729,75,1142808,52.0693,19.4803
