TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-08-23 10:32:00,213630,4940,123369,51.134,16.8842
04,kujawsko-pomorskie,2021-08-23 10:32:00,180901,4793,89361,53.1648,18.4834
06,lubelskie,2021-08-23 10:32:00,127337,4485,59360,51.2494,23.1011
08,lubuskie,2021-08-23 10:32:00,74140,2055,42355,52.2275,15.2559
10,łódzkie,2021-08-23 10:32:00,180473,5133,93062,51.4635,19.1727
12,małopolskie,2021-08-23 10:32:00,223444,5867,113325,49.7225,20.2503
14,mazowieckie,2021-08-23 10:32:00,397551,9462,236517,51.8927,21.0022
16,opolskie,2021-08-23 10:32:00,70110,2055,32436,50.8004,17.938
18,podkarpackie,2021-08-23 10:32:00,126927,4465,65107,50.0575,22.0896
20,podlaskie,2021-08-23 10:32:00,70227,2149,34224,53.0697,22.9675
22,pomorskie,2021-08-23 10:32:00,192728,4492,105078,54.2944,18.1531
24,śląskie,2021-08-23 10:32:00,363093,9434,204346,50.5717,19.322
26,świętokrzyskie,2021-08-23 10:32:00,73205,2578,37511,50.6261,20.9406
28,warmińsko-mazurskie,2021-08-23 10:32:00,122123,3014,63952,53.8671,20.7028
30,wielkopolskie,2021-08-23 10:32:00,286119,7385,148271,52.28,17.3523
32,zachodniopomorskie,2021-08-23 10:32:00,130171,2936,62644,53.4658,15.1823
,nieokreślono,2021-08-23 10:32:00,54626,73,1145399,52.0693,19.4803
