TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-03-02T10:31:00,112368,2760,14256,51.134,16.8842
04,kujawsko-pomorskie,2021-03-02T10:31:00,119771,2829,22112,53.1648,18.4834
06,lubelskie,2021-03-02T10:31:00,84020,2905,12153,51.2494,23.1011
08,lubuskie,2021-03-02T10:31:00,44125,1163,8312,52.2275,15.2559
10,łódzkie,2021-03-02T10:31:00,107767,3065,13852,51.4635,19.1727
12,małopolskie,2021-03-02T10:31:00,128607,3393,11632,49.7225,20.2503
14,mazowieckie,2021-03-02T10:31:00,220929,5601,39863,51.8927,21.0022
16,opolskie,2021-03-02T10:31:00,43954,1353,4817,50.8004,17.938
18,podkarpackie,2021-03-02T10:31:00,76655,2484,9644,50.0575,22.0896
20,podlaskie,2021-03-02T10:31:00,47857,1364,9038,53.0697,22.9675
22,pomorskie,2021-03-02T10:31:00,121820,2793,24830,54.2944,18.1531
24,śląskie,2021-03-02T10:31:00,191111,4671,20979,50.5717,19.322
26,świętokrzyskie,2021-03-02T10:31:00,42724,1295,4515,50.6261,20.9406
28,warmińsko-mazurskie,2021-03-02T10:31:00,83014,1958,17751,53.8671,20.7028
30,wielkopolskie,2021-03-02T10:31:00,169724,4481,23515,52.28,17.3523
32,zachodniopomorskie,2021-03-02T10:31:00,87662,1873,15965,53.4658,15.1823
,nieokreślono,2021-03-02T10:31:00,37600,20,1184798,52.0693,19.4803
