TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-01-16T10:31:00,95005,2210,,51.134,16.8842
04,kujawsko-pomorskie,2021-01-16T10:31:00,97165,1941,,53.1648,18.4834
06,lubelskie,2021-01-16T10:31:00,71476,2114,,51.2494,23.1011
08,lubuskie,2021-01-16T10:31:00,34671,821,1,52.2275,15.2559
10,łódzkie,2021-01-16T10:31:00,93178,2345,,51.4635,19.1727
12,małopolskie,2021-01-16T10:31:00,113702,2862,,49.7225,20.2503
14,mazowieckie,2021-01-16T10:31:00,174066,3908,,51.8927,21.0022
16,opolskie,2021-01-16T10:31:00,39258,1130,,50.8004,17.938
18,podkarpackie,2021-01-16T10:31:00,63609,2026,,50.0575,22.0896
20,podlaskie,2021-01-16T10:31:00,37928,962,,53.0697,22.9675
22,pomorskie,2021-01-16T10:31:00,94402,1883,,54.2944,18.1531
24,śląskie,2021-01-16T10:31:00,165814,3791,,50.5717,19.322
26,świętokrzyskie,2021-01-16T10:31:00,37109,1003,,50.6261,20.9406
28,warmińsko-mazurskie,2021-01-16T10:31:00,62166,1439,,53.8671,20.7028
30,wielkopolskie,2021-01-16T10:31:00,145404,3453,,52.28,17.3523
32,zachodniopomorskie,2021-01-16T10:31:00,73236,1313,,53.4658,15.1823
,nieokreślono,2021-01-16T10:00:00,31423,12,1173086,52.0693,19.4803
